hotel_name,review_summary,review_p1,review_p2,score
Hilton London Metropole,Great stay,"Hilton metropole is centrally located and provides for a comfortable stay at affordable prices. We were here for four nights and especially loved the break fast ! There were diverse options for vegetarians, the food was great. Room was comfortable too.",,"<span class=""ui_bubble_rating bubble_40""></span>"
Hilton London Metropole,Classic Hilton,"1 Thanks for the quick suite upgrade! Love it!  2 My loyalty being appreciated. Thanks Narel!  3 Foods selection are ok, can be better.  4 Staffs are friendly, keep up the great work!  Will recommend to all.",,"<span class=""ui_bubble_rating bubble_50""></span>"
Hilton London Metropole,Terrible ,"Absolutely terrible. Cracked ceiling, tiny room, bad quality tv, cracked paint on bath, shower coming of the wall, dated bathroom, sink tap falling apart, scratches all over the wall,really dated bathroom and nothing like the photos on there website show. Most importantly NO SOAP at a time like this!!!.   The lobby is really nice and food was lovely but the rooms are such aet down and the hallway to the room smelt of smoke all day and night. ",,"<span class=""ui_bubble_rating bubble_10""></span>"
Hilton London Metropole,Hilton,"Me and my sister stayed at the Hilton metropole on Saturday 14th March. Pleasantly surprised at the size of the hotel and how well kept the reception was kept. We was able to get into our room earlier than expected which was good. We dropped our bags off and came back for a bite to eat and to have a shower ready to go watch pretty woman. We ordered room service - pepperoni pizza, crinkle cut chips and 2 cans of lemonade. When the food arrived, the pizza was only cheese and tomato, no pepperoni and the chips where straight cut. My sister rang down to let them know and they offered to waiver the tray charge and give a slight discount. Which we was happy with. After we had eaten I dried my hair using the hotels dryer and when I went to put it away got a huge shock from the plug,"," went through my finger to my elbow. Also when I was in the shower, the water emptied very slowly and ended up pouring over the sides.  When we was checking out on the Sunday we told reception of all these incidents and all the man said was “did you report any of them when they happened” which no we didn’t as we where heading out. There was no apology, nothing.  It’s a lovely hotel, but unfortunately looks can be deceiving. ","<span class=""ui_bubble_rating bubble_20""></span>"
Hilton London Metropole,Clean and tidy. Nice rooms ,We stayed here for a weekend away and used it as a great base to go to shows and explore.  There’s loads of cafe etc around the hotel for food  Can walk to most places from here and tube stop right next door.  Really quiet in the room even though so central ,,"<span class=""ui_bubble_rating bubble_50""></span>"
Hilton London Metropole,,,,
Hilton London Metropole,,,,
Hilton London Metropole,,,,
Hilton London Euston,Hilton Euston,Great location. Friendly staff.  Rooms look a bit tired and cooked breakfast in buffet is as tough as old boots! Would stay again due to atmosphere and location. Very handy for Euston Station. Rooms can be noisy due to traffic. ,,"<span class=""ui_bubble_rating bubble_40""></span>"
Hilton London Metropole,,,,
Hilton London Metropole,,,,
Hilton London Euston,Perfect if You Need to go to Euston,I want to thank the hotel from saving me from a really stressful hotel situation (a flight cancelled from overseas).  I arrived to the hotel late and the staff could not have been nicer.  The room is big and comfortable and had all the amenities and good lightning.  The breakfast was great - easy to get into and the food was good.  I was particularly impressed with the manager and staff - clearly well trained in the Hilton way and I highly recommend.,,"<span class=""ui_bubble_rating bubble_50""></span>"
Hilton London Euston,Hotel Central e Qualidade+,Good hotel and well located in London because is very closed to Euston Train / Tube Station. Price paid a bit higher but within the average of the quality and brand offered. Room a bit small (double room) for work but very comfortable and internet was ok ,,"<span class=""ui_bubble_rating bubble_40""></span>"
Hilton London Euston,Sad cold shower,Nice hotel overall but having lukewarm weak shower is not an energizing way to start ones day. The location was ok. Staff were nice and the room clean - but that shower really was a bummer. Sorry about that. ,,"<span class=""ui_bubble_rating bubble_20""></span>"
Hilton London Euston,Weekend in London,"Stayed with Family on Short Holiday. Cant beat location, walking distance from St Pancras(we took train from Midlands). Euston and other tube options within close walk. Room sizes great for London, breakfast was decent. We were Hilton Gold so breakfast included, if paying for breakfast there are many cheaper and good options nearby. Great service by staff, recommend for a weekend in London. ",,"<span class=""ui_bubble_rating bubble_50""></span>"
Hilton London Euston,,,,
Hilton London Euston,,,,
Hilton London Euston,,,,
Hilton London Euston,,,,
Hilton London Euston,,,,
Hilton London Croydon,Birthday Breakfast,"Four of us on the wrong side of 60 went for a birthday breakfast in the Larder Restaurant.  It was one of the nicest breakfasts I have had in a long time.  It catered for every taste.  There was a small selection for those with who needed a  Gluten Free Diet( our friend was a Celiac so he was very happy).  All the eggs were cooked to order in full view of the guests .  I asked for fried bread and they were only too happy to do it specially for me.   There was a Continental Breakfast selection, plenty of fresh fruit , yogurts ,  cereal and all the usual breads etc. The Manager was full on and very aware of what was going on,  and made sure we were aware of how the buffet worked.  The other staff were all smiles, helpful and kept us well   supplied with tea and coffee at the", table.  I think there was one trainee who looked very nervous but he really did try to do what was expected of him.   It is not cheap for those not on an expense account but worth every penny in my view.  We all said we would go back again ,"<span class=""ui_bubble_rating bubble_50""></span>"
Hilton London Croydon,"Genuine welcome, super hotel","I stayed again for just one night on a business trip and was welcomed with genuine care for my comfort. As a Diamond Member I was thanked for my loyalty, had a lovely refurbished room, enjoyed a really nice meal and great night's sleep. Breakfast and checkout was seamless and the Porter team were very helpful with my luggage/work equipment. A team of Hilton ambassadors. ",,"<span class=""ui_bubble_rating bubble_40""></span>"
Hilton London Croydon,Outstanding Customer Service,"Very nice hotel with a spotlessly clean room and bathroom.  High quality bedding which ensured a comfortable sleep.  Good section of breakfast items.  However, customer service was outstanding & this is the main reason I highly  recommend this hotel.  ",,"<span class=""ui_bubble_rating bubble_50""></span>"
Hilton London Croydon,Fabulous overnight stay,"Fabulous overnight stay We booked this hotel as we were invited to a birthday party in London. It was a absolutely amazing experience, the staff were very helpful and aimed to please. We had a minor hiccup with our linen, this was resolved by giving us an upgrade on our next visit.   ",,"<span class=""ui_bubble_rating bubble_50""></span>"
Hilton London Croydon,Late check out-forget it. But nice staff.. Rooms a bit tired unfortunately. Free parking though.. 24hour bar,£60 - £80 Hotel value is about right anymore you will feel cheated. Rooms are a bit tired - no mini bar- no working air con - no air con when calling down to change rooms told no working air con in any rooms.. But on the plus the reception and bar staff were very nice..,,"<span class=""ui_bubble_rating bubble_30""></span>"
Hilton London Croydon,,,,
Hilton London Croydon,,,,
Hilton London Croydon,,,,
Hilton London Croydon,,,,
Hilton London Croydon,,,,
DoubleTree by Hilton Hotel London - West End,"Pretty good hotel, great location","We chose the Doubletree as it was in a great location and close to where our daughter was studying abroad.  the hotel is nice, the rooms clean and the breakfast was very good, though the coffee service was a bit slow and the omelette station seldom manned.  I didn't find anything specifically wrong here, but it seems like little things cold make it much better.  The hotel bar service was slow..even on a slow night when I was the only person at the bar.  Our room, a deluxe room was super far from the lobby.  The location and the closeness to tube stations, pubs, restaurants and museums.  I like Hilton properties and would stay here again when in London",,"<span class=""ui_bubble_rating bubble_40""></span>"
DoubleTree by Hilton Hotel London - West End,Fabulous,"Excellent welcome. Fantastic quiet room, really clean. Best breakfast ever with lots of choice and attentive, friendly staff at all times. Nothing too much trouble. Just round the corner from the British Museum. Will definitely return.",,"<span class=""ui_bubble_rating bubble_50""></span>"
DoubleTree by Hilton Hotel London - West End,Good location for a museum visit,"The ”deluxe premium” room we had offered the amenities you would expect a hotel this type. We found the room very clean. The bathroom floor was cold (no underfloor heating) and there was no towel rack. Soundproofing wasn’t very good, there was noise from the corridor and other rooms. Fairly good breakfast. The British Museum and the Holborn underground are only two blocks away",,"<span class=""ui_bubble_rating bubble_40""></span>"
DoubleTree by Hilton Hotel London - West End,Great location,"Nice large rooms in a fantastic location close to numerous bars and restaurants. Only complaint would be a sign in the room saying contents of minibar are free with our compliments. Opened the minibar and found it completely empty!! No tea making facilities in the room, only coffee maker",,"<span class=""ui_bubble_rating bubble_40""></span>"
DoubleTree by Hilton Hotel London - West End,Nice but could nicer,"I’m a bit of a fan of Double Tree by Hilton in London. Have stayed at Westminster, Victoria and Islington.  West End Double Tree by Hilton is a little more tired than the others. Staff are exceptionally friendly and helpful.   Bedroom on the small side but well furnished if a bit tired. Had two showers on different days - on both days the water was barely above lukewarm.   Breakfast was up to the usual high standard in terms of quality, would have been better with warm plates for my full english. Would have liked grapefruit.   Would return depending on price and choice.",,"<span class=""ui_bubble_rating bubble_40""></span>"
DoubleTree by Hilton Hotel London - West End,,,,
DoubleTree by Hilton Hotel London - West End,,,,
DoubleTree by Hilton Hotel London - West End,,,,
DoubleTree by Hilton Hotel London - West End,,,,
DoubleTree by Hilton Hotel London - West End,,,,
Hotel Hilton London Gatwick Airport,Good overnight stay- Ask for a refurbished room,"Stayed here overnight for a early morning flight out of South Terminal. Booked on the hilton website while on sale, so managed to get a very good price. I am a Diamond member, so got free breakfast which was good in the resturant. Since we were arriving late, could not use the lounge. Emailed the hotel before we arrived to see if they can move me to a refurbished room (which is on on a separte wing) and they responded promptly and they confirmed it 2 days before check-in. Room was good. Didn't mind the decor too much since there were some reviews saying it looked old. Yes, it is not very modern but it was perfectly fine.  Regarding other reviews about walking miles to get to the room- it was not a very big deal at all and did not think it was an issue since it was less then 2",…,"<span class=""ui_bubble_rating bubble_50""></span>"
Hotel Hilton London Gatwick Airport,Such an easy hotel,"We stayed here for one night before our flight back to Australia - which was brought forward very quickly thanks to the changing situation. The hotel is connected to the South Terminal, albeit a 5-8 min walk from the departure area and North Terminal  shuttle stop.   We arrived in unusual times when there were barely any people in the lobby area, the Costa was closed and so was one of the restaurants. Our room was clean and the beds were comfortable. It was great for a one night stay.   The bar in the lobby was open, so we ate dinner there, but there was unfortunately very little atmosphere as everything was so deserted.  The staff were all fantastic, and hopefully one day we will return when the hotel is back in full swing.",,"<span class=""ui_bubble_rating bubble_50""></span>"
Hotel Hilton London Gatwick Airport,Excellent Location at LGW !!,"We stayed here before - liked it - and came again - good idea. The hotel  - first of all - can be easily reached from the Terminal - a definite advantage! Reception staff very friendly - and the team  - (Marita, Brigitta and Nawal ? ) in the Executive lounge is absolutely brilliant - very efficient - and we really enjoyed the service there - in the evening  - with great tasty appetisers - and in the morning - a superb breakfast - should the opportunity arise - we would definitely stay there again - although our flight departed from Heathrow . Rooms are clean - spacious and all amenities were of good quality - a great hotel for the night before your flight - relaxing - and I am sure not just before flights - but for other London stays as well - since connections to London are",…,"<span class=""ui_bubble_rating bubble_50""></span>"
Hotel Hilton London Gatwick Airport,Very overpriced,"We stayed there before an early flight, the room was in need of attention and was looking old.  Bar prices were very high, large G & T and a large Pinot Grigio was £27.50.  The main restaurant, Amys were selling a burger for £26.00 but in the Sports Bar downstairs you could have a choice of burgers for £16.00.  Staff in the Sports Bar were friendly though.  It says it is joined to the terminal, but in reality it is joined to the short stay car park and then you have to take the lift up one floor, walk across the road and then you are t the terminal.  We would DEFINATELY  not stay there again. ",,"<span class=""ui_bubble_rating bubble_20""></span>"
Hotel Hilton London Gatwick Airport,Convenient before taking an early morning flight,"We stayed here overnight before taking an early morning flight. It has the great advantage that there is a covered walk from the South Terminal, so no waiting for transit buses. However, as with last time we stayed here, the signage from the terminal to the hotel is poor (signs going back to the terminal are fine). As the route took us along passages past deserted car parks, we were not totally confident we were going the right way, even though we had done it before. Once at the hotel, the reception staff were pleasant and efficient. Our room was spacious and comfortable, and well insulated from aircraft noise.",,"<span class=""ui_bubble_rating bubble_40""></span>"
Hotel Hilton London Gatwick Airport,,,,
Hotel Hilton London Gatwick Airport,,,,
Hotel Hilton London Gatwick Airport,,,,
Hotel Hilton London Gatwick Airport,,,,
Hotel Hilton London Gatwick Airport,,,,
Hilton London Croydon,Exceptional,The staff and service were exemplary. Staff were very attentive and made me feel like a valued customer. The restaurant and breakfast food was delicious. The Hilton served the best quality hotel breakfast I have experienced. I would like to add I travel frequently. I have stayed a various Hilton hotels and this one certainly stands out from the rest. I recommend a stay in this hotel and given the opportunity I would stay again. Thank you Hilton Croydon. ,,"<span class=""ui_bubble_rating bubble_50""></span>"
Hilton London Croydon,Valentine's experience,"The warmest welcome awaited my arrival from Luke Gaforg and his colleague. Thank you for my upgraded room with complimentary breakfast, you always go that extra mile to make guests feel special. Thank you to Hannah for upgrading us to VIP and popping in just to say hello. Such a lovely personal touch. All the staff took great care of us and that is why I always return to Hilton Croydon, 10/10 customer service.",,"<span class=""ui_bubble_rating bubble_50""></span>"
Hilton London Croydon,Fantastic Service,"A short one night stay for us but a brilliant one. The rooms are a little dated BUT the food and service was excellent for the price. The staff couldn’t do enough to make you feel comfortable. Small things such as tea/coffee and valentines sweet treats on arrival. The main reception area and restaurant were very clean. We ate at the restaurant and had some fantastic food. The menu had lots of choice especially as we were vegetarian! Breakfast was amazing, so much choice. I have paid a lot more and got a lot less at hotels! We will def return if In the area ",,"<span class=""ui_bubble_rating bubble_50""></span>"
Hilton London Croydon,Knight in Shinning Armour,"We ended up staying in this hotel after our Easyjet flight to Edinburgh was cancelled due to Storm Ciara, When the news came through that the flight wasn't going to take off we were sent the option to book a hotel and we ended up with the best hotel imaginable .   From arrival the staff were so nice, they made sure we were treated with the upmost respect and that we enjoyed accidental our stay here. The room it was modern, and new!!!! the light neutral colours complemented the relaxed open room... The open room well it was open! In fact it was huge and so was the bed and the bathroom. And Finally i don't think i have ever felt more secure in a hotel room with the common door lock as the first method of blocking the door and the door jammer creating a strong bond preventing any",…,"<span class=""ui_bubble_rating bubble_50""></span>"
Hilton London Croydon,Conference room,"I just wanted to say how amazing the room was, i love the round tables, facing the screen along with the notebooks and pens provided by your hotel. Professional service! Thank you to your member of staff Nadir for the great service provided, such a wonderful experience we have had.",,"<span class=""ui_bubble_rating bubble_50""></span>"
Hilton London Croydon,,,,
Hilton London Croydon,,,,
Hilton London Croydon,,,,
Hilton London Croydon,,,,
Hilton London Croydon,,,,
Hilton London Euston,Good value—especially for London,"We had two rooms at this hotel for two adults and three teenagers. The rooms were spacious, bathrooms were clean, check-in was efficient, the bar area was quaint and the service was good. Room service food and breakfast were adequate but not great. Food quality leaves a little to be desired. But the location of this hotel is incredibly convenient to both the underground and several train stations. This hotel is a good value for the price in London, and you know what to expect since it’s a Hilton.",,"<span class=""ui_bubble_rating bubble_40""></span>"
Hilton London Euston,Great location and great hotel,"Excellent location, close to Underground and rail stations. Friendly staff, quiet, and rooms were exceptional - high ceilings, very nice amenities. Ordered room service which was excellent. Would definitely stay here again.",,"<span class=""ui_bubble_rating bubble_50""></span>"
Hilton London Euston,Hotel of Choice,Always book here first now having stayed in other hotels in the area previously won’t go past this one if available . Staff so friendly and helpful cosy rooms great location comfy beds and good breakfast ,,"<span class=""ui_bubble_rating bubble_50""></span>"
Hilton London Euston,Double deposit taken from bank,Very disappointed firstly i checked in online but had to go to front desk to get digital key the system was down so this took longer than it should of then the next day i found out they took 2 times the £50 deposit amount due to a system error!they couldnt refund me i have to wait for the funds to be released back into my account. Front desk lady not helpful at all! This left me in a predicament financially taking £100 for a deposit when room was already paid in full up front 2 weeks before booking. Not a happy customer and a hilton honours customer! Not much soap in rooms and rooms small. Very noisy from outside noise and guests entering building late at night shouting.,,"<span class=""ui_bubble_rating bubble_10""></span>"
Hilton London Euston,Unacceptable Noise Levels and WiFi charges,"Ok, let's start with the positives. Staff are friendly, particularly in the bar and restaurant. The food isn't bad at all, above average when compared to other hotel chains. It's in a great location, especially for access to Euston station and the West End.  I booked a double room, which was spacious enough. I've seen people mention the single rooms and can imagine how small they must be. I would say it's a false economy as anything smaller than what I had wouldn't have been comfortable. Especially if you're from the US and used to the size of rooms you get there.  Now onto the actual room itself. My room was on the side of the main road, and I was on the third floor. The room was clean and plenty of wardrobe space. Decent sized bathroom for one person, with a good shower and",…,"<span class=""ui_bubble_rating bubble_20""></span>"
Hilton London Euston,,,,
Hilton London Euston,,,,
Hilton London Euston,,,,
Hilton London Euston,,,,
Hilton London Euston,,,,
Hilton London Metropole,Super disappointed!,First of all we arrived wanting to park at the hotel but there were no clear sign of where the car park was then after going into the reception and asking (the kids and husband waited in the car) they directed us.  After parking we were looking around trying to find our way to the reception. We found a lift and tried our luck with the reception floor. We went up and couldn’t find the reception it said staff only and even those doors were locked so we had to go back down the lift to where we started.   We used the phone to find out how to get to the reception and they told us. We went up the lift then had to go through the fire exit and walk outside in the rain with 3 babies and a child to find the reception entrance. NO direct lift from car park into hotel!!  The closest,…,"<span class=""ui_bubble_rating bubble_10""></span>"
Hilton London Metropole,Room overated,"Reception and hotel lobby - modern and impressive reception area with attentive staff.   Bar area - relaxing and large size, drinks are on the high but as to be expected (£24 for two vodka&cokes, £40 for bottle of prosecco)   Room - we booked with hilton honours and were told we had a room upgrade upon arrival HOWEVER, the room was the complete opposite to the rest of the hotel, small size, old decor, rock hard bed with springs sticking out, bathroom seen better days paint peeling off cabinets, bath stained, shower pathetic. Curtain didn't even fill full window which was looking inwards across the pool to other rooms. After the first night I was in agony with my back (and I usually like a firm bed) but this was ridiculous literally the worst bed I've ever slept in and then when",…,"<span class=""ui_bubble_rating bubble_30""></span>"
Hilton London Metropole,"Good location, everything worked fine ","A super good location next to tube station (Bakerloo,Circle) and Paddington. Price was reasonable and room totally ok and roomy.  Staff was very friendly and we got a good guidance whenever needed.  Breakfast was offering a good variety and quality. Gym/pool was a slightly disappointment since condition of premises was far from perfect.   Anyway a good experience that I can recommend. Service orientation is best in class.  ",,"<span class=""ui_bubble_rating bubble_40""></span>"
Hilton London Metropole,Dissatisfied Hilton gold number,"Hello,  I currently staying @ Hilton Metropole in London from March 12 to March 18 using my Hilton Honors points. We travel from Florida, this is by far the 2nd worst Hilton hotel I have ever stayed. We booked a standard King room, but upgraded to a family superior queen because of my gold member status. First, let me say the lobby and lounge area is very nice to bad the rooms and executive lounge don't have the same quality. The room 798 in West wing was recently remodel, but it wasn't. The beds are hard as a rock, not sure why we need two queen when are married. Also, it has a sofa, we won't use it due the old smell. The bathroom smells like mildew we tried cleaning it ourselves but no luck. We decided to use the executive lounge breakfast but there were bugs on the fruit and",…,"<span class=""ui_bubble_rating bubble_10""></span>"
Hilton London Metropole,Lovely huge hotel but overpriced.,"Hotel lovely, huge! Pool area nice, and very good that they let children in a bit later than some hotels too. The restaurant was nice and breakfast was fab. However, check-in was slow though the lady that cake out to eventually check us in was lovely. The room wasn’t made up per 2 adults and 2 children as per the booking, the sofa bed should have been made up before arrival but we didn’t want the bother of arranging this so just shared the double beds, not ideal! The room had not been cleaned properly and was quite dusty, the TV didn’t have enough channels, and one of them didn’t work at all, the toilet paper was really cheap and the loo made a loud gurgling noise for ages after flushing, annoying when you’re trying to relax! Stay wasn’t worth the price on this occasion but",…,"<span class=""ui_bubble_rating bubble_40""></span>"
Hilton London Metropole,,,,
Hilton London Metropole,,,,
Hilton London Metropole,,,,
Hilton London Metropole,,,,
Hilton London Metropole,,,,
Hotel Hilton London Gatwick Airport,Excellent hotel,"I booked this hotel for one night before and one night after flights from/to Gatwick to/from my holiday destination in Barbados. Due to European governments advising against all non essential travel on the evening of Tuesday March 17th, because of the Covid-19 outbreak, I only used my first reservation, because after this advise, I cancelled my trip to Barbados the next day and flew home. The reservation after my return flight on the 27th, was refunded without problems, even though this originally was a non-refundable booking. The hotel is in a great location, a five minute walk from the South Terminal. The check-in was very fast with friendly and professional staff. The room was large and comfortable with an excellent bed and shower. Room and bathroom were very clean. If you",…,"<span class=""ui_bubble_rating bubble_50""></span>"
Hotel Hilton London Gatwick Airport,Suitable for a short stay or missed flight,"Staid here for a night after our plane was cancelled. Not the coziest place, but friendly staff and the bar offered superb service and made us food even though the kitchen just closed when we sat down. Dont choose the rooms on the ground floor, other then that its was an ok hotel",,"<span class=""ui_bubble_rating bubble_30""></span>"
Hotel Hilton London Gatwick Airport,Convenient location.,My flight was canceled due Corona outbreak. I had to layover for a night at LGW . I didnt want to drive far so this place was walking distance.  The breakfast was good. Highly recommend for transit passengers. ,,"<span class=""ui_bubble_rating bubble_50""></span>"
Hotel Hilton London Gatwick Airport,Wouldn’t refund even though a government ban on travel!,"1.  Hotel gave option to pay on arrival which was chosen, but money taken straight away. 2. Due to travel restrictions, unable to stay at hotel.  Called 3 days before stay to cancel.  Claimed booking as non refundable.  Called 2 days before, and advised yes I can cancel, but to get refund to go through booking engine that was used.  Perfect - please cancel and I’ll get refund through them. 3. Finally spoke to booking engine, and hotel listed me as ‘no show’ despite verbal and written confirmation that I cannot attend.    Using this current situation as an opportunity to screw customers out of money.  Not the service you expect from Hilton.  Disgusting.",,"<span class=""ui_bubble_rating bubble_10""></span>"
Hotel Hilton London Gatwick Airport,Fab stopover before & after flight ,"Stayed in the newly refurbished room with superking bed, immaculate, spacious & lovely shower room  Cosy comfy bed,tasty plentiful breakfast ... superb courteous staff   Thank you Team Hilton @ Gatwick  We will deffo stay again! ",,"<span class=""ui_bubble_rating bubble_50""></span>"
Hotel Hilton London Gatwick Airport,,,,
Hotel Hilton London Gatwick Airport,,,,
Hotel Hilton London Gatwick Airport,,,,
Hotel Hilton London Gatwick Airport,,,,
Hotel Hilton London Gatwick Airport,,,,
Hilton London Croydon,Friendly staff ,"First time here, lovely attentive staff. Rooms are big, with plenty of space, bed is extremely comfortable.Highly recommended and join hilton honors to build your status for points and rewards.. Breakfast was nice and plenty of choice. check in and out was easy and can get key card on your phone so do not need to carry plastic key around which is very convenient.",,"<span class=""ui_bubble_rating bubble_50""></span>"
Hilton London Croydon,What a dive!,"The only positive thing I can say about my stay was that the staff were lovely. The room was a disaster. I had no cold water, faeces stained towels, dirt/dust and hairs in the room, and aircon that didn’t work. Breakfast was no better. One of the first down, and everything was burnt and cold. Real disappointment from the Hilton brand.",,"<span class=""ui_bubble_rating bubble_20""></span>"
Hilton London Croydon,Best Hilton we’ve stayed at in a while,We stayed at this Hilton after attending the races. Check in was great by Rachel we were informed we were in a refurbished room on the third floor. Room was lovely modern and extremely clean size was perfect and the bed was really comfortable. We ate in the restaurant and there was a nice choice of meals. The lady in the restaurant was fantastic as were the bar Staff and the food was nice . We went to the gym which was well equipped. Breakfast was superb great selection and staff were excellent. Not sure what the area has to offer as we didn’t venture out ,,"<span class=""ui_bubble_rating bubble_50""></span>"
Hilton London Croydon,Great facilities,"Attended for a training course. Great facilities, good food. Friendly staff, clean and comfortable environment.  There was a real fire alarm alert,everyone evacuated and the staff dealt with the situation smoothly and stress free, thanking everyone in a genuine manner for co-operating.",,"<span class=""ui_bubble_rating bubble_50""></span>"
Hilton London Croydon,Love this hotel!,"I’ve only ever been to this hotel for a work function and a wedding but never stayed until tonight. As soon as I walked in I was greeted by a lovely man who was very friendly and welcoming. He upgraded us to a junior suite which I was very happy about. The room was huge! We had a lovely, comfy double bed, two sofas and a table. The bathroom had a bath tub and a separate shower. The hotel was very clean and tidy. There are plenty of parking bags for £5 a night. Literally can’t complain about anything! I will definitely be returning soon. ",,"<span class=""ui_bubble_rating bubble_50""></span>"
Hilton London Croydon,,,,
Hilton London Croydon,,,,
Hilton London Croydon,,,,
Hilton London Croydon,,,,
Hilton London Croydon,,,,
Hilton London Euston,Average hotel,First time staying in hilton hotel. We had an average experience. The room was pretty small. amenities given were small bottles of shampoo and soap. I saw a strand of hair on the bed. The comforter was not tucked in properly. The 2nd day bed was done much better. Staff was friendly and helpful. Plus point was it was near euston station. ,,"<span class=""ui_bubble_rating bubble_30""></span>"
Hilton London Euston,Fantastic Hotel for King Cross area of London,"Having spent multiple weeks in London over the past year at various hotels, I can say that spent two weeks at this hotel and actually enjoyed both the hotel and the staff. It was a comfortable hotel, well kept, well maintained.  The maintenance people keep the hotel well maintained. And respond quickly if there are any issues.  The front desk personnel are personable and efficient. The dining room downstairs serves a very nice breakfast and the staff there are efficient and will take a moment to talk to you.  The only thing about the hotel that is odd, is the design....there appears to be a vast area of the hotel that is not being used and all of the rooms are laid out around that area.",,"<span class=""ui_bubble_rating bubble_50""></span>"
